Muscle,Classifier,FeatureType,MeanAccuracy
BF,KNN,TD,68.75
BF,KNN,FD,87.5
BF,KNN,Wavelet,62.5
BF,SVM,TD,93.75
BF,SVM,FD,87.5
BF,SVM,Wavelet,75
BF,Random Forest,TD,62.5
BF,Random Forest,FD,87.5
BF,Random Forest,Wavelet,56.25
BF,Decision Tree,TD,68.75
BF,Decision Tree,FD,87.5
BF,Decision Tree,Wavelet,43.75
RF,KNN,TD,62.5
RF,KNN,FD,31.25
RF,KNN,Wavelet,62.5
RF,SVM,TD,75
RF,SVM,FD,68.75
RF,SVM,Wavelet,56.25
RF,Random Forest,TD,68.75
RF,Random Forest,FD,62.5
RF,Random Forest,Wavelet,50
RF,Decision Tree,TD,56.25
RF,Decision Tree,FD,62.5
RF,Decision Tree,Wavelet,62.5
ST,KNN,TD,62.5
ST,KNN,FD,87.5
ST,KNN,Wavelet,62.5
ST,SVM,TD,68.75
ST,SVM,FD,75
ST,SVM,Wavelet,68.75
ST,Random Forest,TD,62.5
ST,Random Forest,FD,87.5
ST,Random Forest,Wavelet,50
ST,Decision Tree,TD,56.25
ST,Decision Tree,FD,75
ST,Decision Tree,Wavelet,43.75
VM,KNN,TD,68.75
VM,KNN,FD,62.5
VM,KNN,Wavelet,75
VM,SVM,TD,81.25
VM,SVM,FD,31.25
VM,SVM,Wavelet,75
VM,Random Forest,TD,62.5
VM,Random Forest,FD,62.5
VM,Random Forest,Wavelet,75
VM,Decision Tree,TD,62.5
VM,Decision Tree,FD,62.5
VM,Decision Tree,Wavelet,81.25
